plotcode,country,plotsize_m2,biomass_vascular_plants_g.m-2,NP_vascular_plants,harvest_year,resNPbio,nosp,aveMean_root_diameter_D,aveRoot_nitrogen_concentration_RN,aveRoot_tissue_density_RTD,aveSpecific_root_length_SRL,aveN-fixing,aveAM,aveNM,aveEcM,aveErM,aveNM_AM,aveOM,aveMycorrhizal_association_capacity_MA,aveRoot_mycorrhizal_colonization_intensity_%M,aveCluster_roots,resMean_root_diameter_D,resRoot_nitrogen_concentration_RN,resRoot_tissue_density_RTD,resSpecific_root_length_SRL,resN-fixing,resAM,resNM,resEcM,resErM,resNM_AM,resOM,resMycorrhizal_association_capacity_MA,resRoot_mycorrhizal_colonization_intensity_%M,resCluster_roots
hr_R5,5,25,529.3000000000,8.0900000000,2001.0000000000,-0.1647012504,16.0000000000,-1.4036721644,2.4646106375,-1.9177694895,4.9591648557,0.1250000000,0.6875000000,0.0000000000,0.0000000000,0.0000000000,0.3125000000,0.0000000000,0.6875000000,63.2487879769,0.0000000000,0.2231214167,0.2484292289,-0.0115643328,-0.1403530726,1.1441891567,1.1396420223,-1.3292369959,-0.0596542443,-0.1209942576,-0.6027197772,-0.6596314854,1.0327285097,16.8417906100,-0.7020156954
hr_S1,5,25,566.5000000000,5.6600000000,2001.0000000000,-0.5085765588,21.0000000000,-1.5129163708,2.5610851210,-1.9854266383,4.8922997283,0.0952380952,0.6666666667,0.0476190476,0.0000000000,0.0000000000,0.2857142857,0.0000000000,0.6666666667,50.5571260412,0.0000000000,0.1161818394,0.3407179136,-0.0769125855,-0.2126367176,0.8091103643,1.0801658733,-0.1195657969,-0.0675474688,-0.1325971364,-0.9340829967,-0.7483160652,0.9623629459,4.0924948028,-0.8240145881
hr_S2,5,25,514.6000000000,5.8800000000,2001.0000000000,-0.4893006520,16.0000000000,#N/A,#N/A,#N/A,4.7574869309,0.0625000000,0.6250000000,0.0000000000,0.0000000000,0.0000000000,0.3750000000,0.0000000000,0.6250000000,52.3859307367,0.0000000000,#N/A,#N/A,#N/A,-0.3397840698,0.2063781021,0.6330986157,-1.3310179682,-0.0599444110,-0.1232422747,-0.0874388186,-0.6623235581,0.5233092208,6.0028327355,-0.7060790880
hr_S3,5,25,388.3000000000,7.2500000000,2001.0000000000,-0.3351218050,21.0000000000,#N/A,#N/A,#N/A,#N/A,0.0952380952,0.6666666667,0.0000000000,0.0000000000,0.0000000000,0.3333333333,0.0000000000,0.6666666667,60.2467641607,0.0000000000,#N/A,#N/A,#N/A,#N/A,0.8992385265,1.2288522119,-1.5454156252,-0.0720889252,-0.1697236166,-0.5742516211,-0.7903143285,1.0825564653,14.1026232233,-0.8079251752
hr_T2,5,25,470.3000000000,8.6600000000,2001.0000000000,-0.1198088047,38.0000000000,#N/A,#N/A,-1.9868076573,5.1417113105,0.0833333333,0.6944444444,0.0277777778,0.0000000000,0.0000000000,0.2777777778,0.0000000000,0.6944444444,55.0210075105,0.0000000000,#N/A,#N/A,-0.0846200080,0.0516216692,0.8452900656,1.8573621366,-0.7719199157,-0.0913219556,-0.1960663066,-1.3915939119,-1.0065007536,1.6855679647,8.7142937833,-1.1180745459
hr_W1,5,25,336.3000000000,14.8500000000,2001.0000000000,0.3536610416,23.0000000000,#N/A,#N/A,#N/A,#N/A,0.0909090909,0.6363636364,0.0000000000,0.0000000000,0.0000000000,0.3636363636,0.0000000000,0.6363636364,#N/A,0.0000000000,#N/A,#N/A,#N/A,#N/A,0.8778647662,1.0236825642,-1.5926210118,-0.0756358025,-0.1908312101,-0.3328323764,-0.8258931607,0.8621581935,#N/A,-0.8894891314
hr_W10,5,25,339.4000000000,5.2400000000,2001.0000000000,-0.6862166014,20.0000000000,-1.6322624577,2.3775580428,-2.0536420136,5.3991730541,0.1176470588,0.8823529412,0.0000000000,0.0000000000,0.0000000000,0.1176470588,0.0000000000,0.8823529412,59.3656746036,0.0000000000,-0.0205468547,0.1887621179,-0.1625427517,0.3351056416,1.1738030224,3.1327139619,-1.3993821827,-0.0663825627,-0.1667471423,-2.5674091957,-0.7250388337,3.0000679506,13.3357453920,-0.8304810610
hr_W2,5,25,322.8000000000,14.5700000000,2001.0000000000,0.3265853626,24.0000000000,#N/A,#N/A,#N/A,#N/A,0.0833333333,0.6250000000,0.0000000000,0.0000000000,0.0000000000,0.3750000000,0.0000000000,0.6250000000,49.7853035862,0.0000000000,#N/A,#N/A,#N/A,#N/A,0.7828263575,0.9729405884,-1.6666774475,-0.0795585955,-0.2047251671,-0.2449997249,-0.8677381013,0.8006837692,3.7979253127,-0.9245777761
hr_W6,5,25,296.8000000000,11.0000000000,2001.0000000000,0.0290361622,31.0000000000,-1.6242374501,2.2897520836,-1.7605059452,5.2671930911,0.1071428571,0.7142857143,0.0000000000,0.0000000000,0.0000000000,0.2857142857,0.0000000000,0.7142857143,47.1660667300,0.0000000000,-0.0170726577,0.1092216002,0.1260340804,0.2138252949,1.3448206790,2.0672912468,-1.8074082328,-0.0871853315,-0.2336016190,-1.2813060705,-0.9487021925,1.8763812789,1.2499436091,-1.0700033667
hr_W7,5,25,346.5000000000,6.0200000000,2001.0000000000,-0.5433878168,23.0000000000,#N/A,2.1178282387,#N/A,4.9354727212,0.0869565217,0.6086956522,0.0000000000,0.0000000000,0.0000000000,0.3913043478,0.0000000000,0.6086956522,51.9808952274,0.0000000000,#N/A,-0.0722435751,#N/A,-0.1302463298,0.8173065380,0.7640180981,-1.6261059339,-0.0769386296,-0.1913471732,-0.0588109872,-0.8408173522,0.6007311869,5.9333984217,-0.9376981499
hr_W8,5,25,352.4000000000,6.0700000000,2001.0000000000,-0.5318029970,32.0000000000,#N/A,#N/A,#N/A,#N/A,0.0937500000,0.6250000000,0.0000000000,0.0000000000,0.0000000000,0.3750000000,0.0000000000,0.6250000000,51.1888412612,0.0000000000,#N/A,#N/A,#N/A,#N/A,1.1064595146,1.0804852920,-1.9165126567,-0.0904882641,-0.2232241827,-0.2528912045,-0.9893575775,0.8898012702,5.1270177438,-1.0093380565
hr_W9,5,25,319.9000000000,5.1100000000,2001.0000000000,-0.7229508957,21.0000000000,-1.5302819962,2.4410847306,-2.0290036712,5.1583834365,0.1428571429,0.7619047619,0.0000000000,0.0000000000,0.0000000000,0.2380952381,0.0000000000,0.7619047619,59.1431823847,0.0000000000,0.0794258981,0.2559353207,-0.1399158353,0.0990364387,1.7134138745,2.2285286505,-1.5597021201,-0.0745360446,-0.1926355292,-1.5644007125,-0.8127535253,2.0704714061,13.1634616970,-0.9262852601
