mrd,Rz,Treatment,dafs
-10.042042672213304,37,F-first,37
-10.100218975978304,37,F-first,39
-10.622318924781007,37,F-first,42
-11.24121167208584,37,F-first,44
0,38,G-first,2
0,38,G-first,4
-2.180008647997967,38,G-first,7
-3.1045841133058003,38,G-first,9
-3.764028994985495,38,G-first,11
-3.7517740532109944,38,G-first,14
-4.7775106492033546,38,G-first,16
-5.3423140387719386,38,G-first,18
-5.843443748777745,38,G-first,21
-5.848891420602476,38,G-first,23
-6.200990224214351,38,G-first,25
-6.201526278112004,38,G-first,28
-7.639073940201696,38,G-first,30
-6.854910233756149,38,G-first,32
-7.195895083271982,38,G-first,35
-7.866088312692155,38,G-first,37
-8.012615316349509,38,G-first,39
-8.422123271428646,38,G-first,42
-9.238104326929369,38,G-first,44
-0.9320472998746662,39,L-first,2
-1.8928254816564247,39,L-first,4
-3.65066183486,39,L-first,7
-4.58780108395248,39,L-first,9
-5.808237205819893,39,L-first,11
-7.153057896295165,39,L-first,14
-8.33804275989016,39,L-first,16
-8.30159210279932,39,L-first,18
-9.371762593504284,39,L-first,21
-10.449112505729634,39,L-first,23
-11.496658480319772,39,L-first,25
-11.79438924037724,39,L-first,28
-13.506310119648504,39,L-first,30
-12.72095552551284,39,L-first,32
-12.717710717181852,39,L-first,35
-13.002778369293328,39,L-first,37
-13.419451998990697,39,L-first,39
-14.263044565538454,39,L-first,42
-15.32580473664308,39,L-first,44
0,40,Sync2,1
-1.6995478755934357,40,Sync2,4
-3.4209585699082363,40,Sync2,6
-3.977190150431893,40,Sync2,8
-5.342899868220864,40,Sync2,11
-5.752783817078178,40,Sync2,13
-6.165699605444515,40,Sync2,15
-6.4991066435897,40,Sync2,18
-7.662791282569237,40,Sync2,20
-6.942290857230265,40,Sync2,22
-7.208053320310403,40,Sync2,25
-7.525312301093021,40,Sync2,27
-7.870900655360671,40,Sync2,29
-8.25997999469473,40,Sync2,32
-8.817058157984484,40,Sync2,34
-1.269795592760315,42,Sync1,2
-1.7778968114611455,42,Sync1,4
-3.815795308462643,42,Sync1,7
-5.086214651902715,42,Sync1,9
-6.465916765065787,42,Sync1,11
-7.312579222886212,42,Sync1,14
-9.226995758585671,42,Sync1,16
-9.68371471433814,42,Sync1,18
-10.821310135434624,42,Sync1,21
-10.95210352181744,42,Sync1,23
-11.884479398720272,42,Sync1,25
-12.443520662691917,42,Sync1,28
-13.5675717320631,42,Sync1,30
-13.251142085461936,42,Sync1,32
-14.04372682139177,42,Sync1,35
-14.634730030653028,42,Sync1,37
-15.266507408867469,42,Sync1,39
-15.945613676314322,42,Sync1,42
-16.12564570606837,42,Sync1,44
-0.3922379526649685,43,Sync1,2
-1.2643636100810478,43,Sync1,4
-2.8504277799597535,43,Sync1,7
-3.727806920512097,43,Sync1,9
-5.085747901319284,43,Sync1,11
-6.174354374904206,43,Sync1,14
-7.346592604497627,43,Sync1,16
-7.306786962376585,43,Sync1,18
-7.637906676568392,43,Sync1,21
-7.988112354224793,43,Sync1,23
-8.716246092284543,43,Sync1,25
-9.209819757129628,43,Sync1,28
-10.261225839432644,43,Sync1,30
-9.96110951633744,43,Sync1,32
-10.13323098730711,43,Sync1,35
-10.61976448243366,43,Sync1,37
-10.963732892883858,43,Sync1,39
-11.54659785339871,43,Sync1,42
-12.18872137274998,43,Sync1,44
0,44,G-first,2
-0.1397480316621578,44,G-first,4
-2.998997994842062,44,G-first,7
-3.382744774164799,44,G-first,9
-4.319196158362668,44,G-first,11
-3.9253644943328503,44,G-first,14
-5.249723007488986,44,G-first,16
-5.529984449648416,44,G-first,18
-6.615506731347254,44,G-first,21
-6.48636524052355,44,G-first,23
-6.820339177965174,44,G-first,25
-6.793394106985354,44,G-first,28
-8.255764291353952,44,G-first,30
-7.510876304764472,44,G-first,32
-8.065274154574835,44,G-first,35
-8.642898066798182,44,G-first,37
-8.957603981557922,44,G-first,39
-9.416917527035428,44,G-first,42
-10.207285342146614,44,G-first,44
0,48,Sync2,1
-2.200011870112357,48,Sync2,4
-4.120483838190663,48,Sync2,6
-4.4693935904803634,48,Sync2,8
-5.568302949086131,48,Sync2,11
